"",Abdul Malik,Abdul Rauf,Abdul Rohim,Abdullah Sunata,Abdullah Sungkar,Abu Bakar Ba'asyir,Abu Dujanah,Abu Fida,Aceng Kurnia,Achmad Hasan,Adung,Agus Ahmad,Ahmad Rofiq Ridho,Ahmad Sayid Maulana,Ajengan Masduki,Akram,Ali Ghufron,Anif Solchanudin,Apuy,Aris Munandar,Asep Jaja,Asmar Latin Sani,Azhari Husin,Baharudin Soleh,Chandra,Cholily,Dani Chandra,Dulmatin,Enceng Kurnia,Engkos Kosasih,Fathurrahman al-Ghozi,Fathurrochman,Hambali,Hari Kuncoro,Harun,Hence Malewa,Heri Golun,Heri Sigu Samboja,Imam Bukhori,Imam Samudra,Iqbal,Iqbal Huseini,Irun Hidayat,Ismail,Iwan Dharmawan,Jabir,Joko Triharmanto,Joni Achmad Fauzan,Marwan,Misno,Mohamed Ihsan,Mohamed Rais,Mohamed Saifuddin (alias Faiz),Muchtar,Munfiatun,Mus'ab Sahidi,Muzayin Abdul Wahab,Nasir Abas,Noordin Mohammed Top,Purnama Putra,Qotadah,Rosihin Noor,Said Sungkar,Salik Firdaus,Salman,Saptono,Sardona Siliwangi,Son Hadi,Subur Sugiarto,Suramto,Tohir,Toni Togar,Ubeid,Umar,Umar Patek,Umar Wayan,Urwah,Usman bin Sef,Zulkarnaen
Abdul Malik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdul Rauf,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Abdul Rohim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdullah Sunata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdullah Sungkar,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1
Abu Bakar Ba'asyir,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1
Abu Dujanah,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abu Fida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
Aceng Kurnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achmad Hasan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
